Author,Study_ID,Effect_Size_ID,Study_Country,Study_Region,Biome,Study_System,Verts_Inverts_Plants,Verts_Inverts_Plants_Without_Pests,Animals_Plants,Functional_Groups,Orders,Taxa_Category_2,Biodiversity_Category,Heterogeneity_Measure,Heterogeneity_Mesure_Fine,Heterogeneity_Type,Heterogeneity,Heterogeneity_Type_L_C,Pearson_Correlation,Sample_Size,Scale,Crop_Cover_Mean,Article_Tittle 
Rusch et al. (2013),p61,sub1754,Sweden,"Scania, Southern Sweden",Temperate,Barley,Invertebrates,Invertebrates,Animals,Predators,Coleoptera,Rove beetles,Abundance,ED,Edge Density,Landscape_Configurational_het,Configurational_het,Landscape_het,-0.1433716,41,1000_m_R,74.64098,Flow and stability of natural pest control servicesdepend on complexity and crop rotation at thelandscape scale
Rusch et al. (2013),p61,sub1755,Sweden,"Scania, Southern Sweden",Temperate,Barley,Invertebrates,Invertebrates,Animals,Predators,Coleoptera,Rove beetles,SWDiversity,ED,Edge Density,Landscape_Configurational_het,Configurational_het,Landscape_het,0.1615051,41,2000_m_R,72.8244,Flow and stability of natural pest control servicesdepend on complexity and crop rotation at thelandscape scale
Rusch et al. (2013),p61,sub1756,Sweden,"Scania, Southern Sweden",Temperate,Barley,Invertebrates,Invertebrates,Animals,Predators,Coleoptera,Rove beetles,Richness,ED,Edge Density,Landscape_Configurational_het,Configurational_het,Landscape_het,0.05149968,41,2000_m_R,72.8244,Flow and stability of natural pest control servicesdepend on complexity and crop rotation at thelandscape scale
Rusch et al. (2013),p61,sub1757,Sweden,"Scania, Southern Sweden",Temperate,Barley,Invertebrates,Invertebrates,Animals,Predators,Coleoptera,Rove beetles,Abundance,ED,Edge Density,Landscape_Configurational_het,Configurational_het,Landscape_het,-0.1327473,41,2000_m_R,72.8244,Flow and stability of natural pest control servicesdepend on complexity and crop rotation at thelandscape scale
Rusch et al. (2013),p61,sub1758,Sweden,"Scania, Southern Sweden",Temperate,Barley,Invertebrates,Invertebrates,Animals,Predators,Coleoptera,Rove beetles,SWDiversity,ED,Edge Density,Landscape_Configurational_het,Configurational_het,Landscape_het,0.1273192,41,3000_m_R,69.77454,Flow and stability of natural pest control servicesdepend on complexity and crop rotation at thelandscape scale
Rusch et al. (2013),p61,sub1759,Sweden,"Scania, Southern Sweden",Temperate,Barley,Invertebrates,Invertebrates,Animals,Predators,Coleoptera,Rove beetles,Richness,ED,Edge Density,Landscape_Configurational_het,Configurational_het,Landscape_het,0.04543574,41,3000_m_R,69.77454,Flow and stability of natural pest control servicesdepend on complexity and crop rotation at thelandscape scale
Rusch et al. (2013),p61,sub1760,Sweden,"Scania, Southern Sweden",Temperate,Barley,Invertebrates,Invertebrates,Animals,Predators,Coleoptera,Rove beetles,Abundance,ED,Edge Density,Landscape_Configurational_het,Configurational_het,Landscape_het,-0.06140384,41,3000_m_R,69.77454,Flow and stability of natural pest control servicesdepend on complexity and crop rotation at thelandscape scale
Rusch et al. (2013),p61,sub1761,Sweden,"Scania, Southern Sweden",Temperate,Barley,Invertebrates,Invertebrates,Animals,Predators,Araneae,Spiders,SWDiversity,ED,Edge Density,Landscape_Configurational_het,Configurational_het,Landscape_het,-0.1887732,41,100_m_R,84.73454,Flow and stability of natural pest control servicesdepend on complexity and crop rotation at thelandscape scale
Rusch et al. (2013),p61,sub1762,Sweden,"Scania, Southern Sweden",Temperate,Barley,Invertebrates,Invertebrates,Animals,Predators,Araneae,Spiders,Richness,ED,Edge Density,Landscape_Configurational_het,Configurational_het,Landscape_het,-0.05070619,41,100_m_R,84.73454,Flow and stability of natural pest control servicesdepend on complexity and crop rotation at thelandscape scale
Rusch et al. (2013),p61,sub1763,Sweden,"Scania, Southern Sweden",Temperate,Barley,Invertebrates,Invertebrates,Animals,Predators,Araneae,Spiders,Abundance,ED,Edge Density,Landscape_Configurational_het,Configurational_het,Landscape_het,-0.07900663,41,100_m_R,84.73454,Flow and stability of natural pest control servicesdepend on complexity and crop rotation at thelandscape scale
Rusch et al. (2013),p61,sub1764,Sweden,"Scania, Southern Sweden",Temperate,Barley,Invertebrates,Invertebrates,Animals,Predators,Araneae,Spiders,SWDiversity,ED,Edge Density,Landscape_Configurational_het,Configurational_het,Landscape_het,0.1738245,41,250_m_R,82.07297,Flow and stability of natural pest control servicesdepend on complexity and crop rotation at thelandscape scale
Rusch et al. (2013),p61,sub1765,Sweden,"Scania, Southern Sweden",Temperate,Barley,Invertebrates,Invertebrates,Animals,Predators,Araneae,Spiders,Richness,ED,Edge Density,Landscape_Configurational_het,Configurational_het,Landscape_het,-0.1050255,41,250_m_R,82.07297,Flow and stability of natural pest control servicesdepend on complexity and crop rotation at thelandscape scale
Rusch et al. (2013),p61,sub1766,Sweden,"Scania, Southern Sweden",Temperate,Barley,Invertebrates,Invertebrates,Animals,Predators,Araneae,Spiders,Abundance,ED,Edge Density,Landscape_Configurational_het,Configurational_het,Landscape_het,-0.1111118,41,250_m_R,82.07297,Flow and stability of natural pest control servicesdepend on complexity and crop rotation at thelandscape scale
Rusch et al. (2013),p61,sub1767,Sweden,"Scania, Southern Sweden",Temperate,Barley,Invertebrates,Invertebrates,Animals,Predators,Araneae,Spiders,SWDiversity,ED,Edge Density,Landscape_Configurational_het,Configurational_het,Landscape_het,0.373305,41,500_m_R,78.37079,Flow and stability of natural pest control servicesdepend on complexity and crop rotation at thelandscape scale
Rusch et al. (2013),p61,sub1768,Sweden,"Scania, Southern Sweden",Temperate,Barley,Invertebrates,Invertebrates,Animals,Predators,Araneae,Spiders,Richness,ED,Edge Density,Landscape_Configurational_het,Configurational_het,Landscape_het,0.1865915,41,500_m_R,78.37079,Flow and stability of natural pest control servicesdepend on complexity and crop rotation at thelandscape scale
Rusch et al. (2013),p61,sub1769,Sweden,"Scania, Southern Sweden",Temperate,Barley,Invertebrates,Invertebrates,Animals,Predators,Araneae,Spiders,Abundance,ED,Edge Density,Landscape_Configurational_het,Configurational_het,Landscape_het,0.2006949,41,500_m_R,78.37079,Flow and stability of natural pest control servicesdepend on complexity and crop rotation at thelandscape scale
Rusch et al. (2013),p61,sub1770,Sweden,"Scania, Southern Sweden",Temperate,Barley,Invertebrates,Invertebrates,Animals,Predators,Araneae,Spiders,SWDiversity,ED,Edge Density,Landscape_Configurational_het,Configurational_het,Landscape_het,0.2125898,41,1000_m_R,74.64098,Flow and stability of natural pest control servicesdepend on complexity and crop rotation at thelandscape scale
Rusch et al. (2013),p61,sub1771,Sweden,"Scania, Southern Sweden",Temperate,Barley,Invertebrates,Invertebrates,Animals,Predators,Araneae,Spiders,Richness,ED,Edge Density,Landscape_Configurational_het,Configurational_het,Landscape_het,0.1509195,41,1000_m_R,74.64098,Flow and stability of natural pest control servicesdepend on complexity and crop rotation at thelandscape scale
Rusch et al. (2013),p61,sub1772,Sweden,"Scania, Southern Sweden",Temperate,Barley,Invertebrates,Invertebrates,Animals,Predators,Araneae,Spiders,Abundance,ED,Edge Density,Landscape_Configurational_het,Configurational_het,Landscape_het,0.140905,41,1000_m_R,74.64098,Flow and stability of natural pest control servicesdepend on complexity and crop rotation at thelandscape scale
Rusch et al. (2013),p61,sub1773,Sweden,"Scania, Southern Sweden",Temperate,Barley,Invertebrates,Invertebrates,Animals,Predators,Araneae,Spiders,SWDiversity,ED,Edge Density,Landscape_Configurational_het,Configurational_het,Landscape_het,0.04266322,41,2000_m_R,72.8244,Flow and stability of natural pest control servicesdepend on complexity and crop rotation at thelandscape scale
Rusch et al. (2013),p61,sub1774,Sweden,"Scania, Southern Sweden",Temperate,Barley,Invertebrates,Invertebrates,Animals,Predators,Araneae,Spiders,Richness,ED,Edge Density,Landscape_Configurational_het,Configurational_het,Landscape_het,-0.0243797,41,2000_m_R,72.8244,Flow and stability of natural pest control servicesdepend on complexity and crop rotation at thelandscape scale
Rusch et al. (2013),p61,sub1775,Sweden,"Scania, Southern Sweden",Temperate,Barley,Invertebrates,Invertebrates,Animals,Predators,Araneae,Spiders,Abundance,ED,Edge Density,Landscape_Configurational_het,Configurational_het,Landscape_het,0.04010028,41,2000_m_R,72.8244,Flow and stability of natural pest control servicesdepend on complexity and crop rotation at thelandscape scale
Rusch et al. (2013),p61,sub1776,Sweden,"Scania, Southern Sweden",Temperate,Barley,Invertebrates,Invertebrates,Animals,Predators,Araneae,Spiders,SWDiversity,ED,Edge Density,Landscape_Configurational_het,Configurational_het,Landscape_het,-0.05008456,41,3000_m_R,69.77454,Flow and stability of natural pest control servicesdepend on complexity and crop rotation at thelandscape scale
Rusch et al. (2013),p61,sub1777,Sweden,"Scania, Southern Sweden",Temperate,Barley,Invertebrates,Invertebrates,Animals,Predators,Araneae,Spiders,Richness,ED,Edge Density,Landscape_Configurational_het,Configurational_het,Landscape_het,-0.1029795,41,3000_m_R,69.77454,Flow and stability of natural pest control servicesdepend on complexity and crop rotation at thelandscape scale
Rusch et al. (2013),p61,sub1778,Sweden,"Scania, Southern Sweden",Temperate,Barley,Invertebrates,Invertebrates,Animals,Predators,Araneae,Spiders,Abundance,ED,Edge Density,Landscape_Configurational_het,Configurational_het,Landscape_het,0.04348798,41,3000_m_R,69.77454,Flow and stability of natural pest control servicesdepend on complexity and crop rotation at thelandscape scale
Rusch et al. (2013),p61,sub1779,Sweden,"Scania, Southern Sweden",Temperate,Barley,Invertebrates,Invertebrates,Animals,Predators,Coleoptera,Carabid_beetles,SWDiversity,ED,Edge Density,Landscape_Configurational_het,Configurational_het,Landscape_het,0.06856759,41,100_m_R,84.73454,Flow and stability of natural pest control servicesdepend on complexity and crop rotation at thelandscape scale
Rusch et al. (2013),p61,sub1780,Sweden,"Scania, Southern Sweden",Temperate,Barley,Invertebrates,Invertebrates,Animals,Predators,Coleoptera,Carabid_beetles,Richness,ED,Edge Density,Landscape_Configurational_het,Configurational_het,Landscape_het,-0.1825112,41,100_m_R,84.73454,Flow and stability of natural pest control servicesdepend on complexity and crop rotation at thelandscape scale
Rusch et al. (2013),p61,sub1781,Sweden,"Scania, Southern Sweden",Temperate,Barley,Invertebrates,Invertebrates,Animals,Predators,Coleoptera,Carabid_beetles,Abundance,ED,Edge Density,Landscape_Configurational_het,Configurational_het,Landscape_het,-0.2922558,41,100_m_R,84.73454,Flow and stability of natural pest control servicesdepend on complexity and crop rotation at thelandscape scale
Rusch et al. (2013),p61,sub1782,Sweden,"Scania, Southern Sweden",Temperate,Barley,Invertebrates,Invertebrates,Animals,Predators,Coleoptera,Carabid_beetles,SWDiversity,ED,Edge Density,Landscape_Configurational_het,Configurational_het,Landscape_het,0.0702251,41,250_m_R,82.07297,Flow and stability of natural pest control servicesdepend on complexity and crop rotation at thelandscape scale
Rusch et al. (2013),p61,sub1783,Sweden,"Scania, Southern Sweden",Temperate,Barley,Invertebrates,Invertebrates,Animals,Predators,Coleoptera,Carabid_beetles,Richness,ED,Edge Density,Landscape_Configurational_het,Configurational_het,Landscape_het,-0.1984199,41,250_m_R,82.07297,Flow and stability of natural pest control servicesdepend on complexity and crop rotation at thelandscape scale
Rusch et al. (2013),p61,sub1784,Sweden,"Scania, Southern Sweden",Temperate,Barley,Invertebrates,Invertebrates,Animals,Predators,Coleoptera,Carabid_beetles,Abundance,ED,Edge Density,Landscape_Configurational_het,Configurational_het,Landscape_het,-0.4216594,41,250_m_R,82.07297,Flow and stability of natural pest control servicesdepend on complexity and crop rotation at thelandscape scale
Rusch et al. (2013),p61,sub1785,Sweden,"Scania, Southern Sweden",Temperate,Barley,Invertebrates,Invertebrates,Animals,Predators,Coleoptera,Carabid_beetles,SWDiversity,ED,Edge Density,Landscape_Configurational_het,Configurational_het,Landscape_het,0.1487564,41,500_m_R,78.37079,Flow and stability of natural pest control servicesdepend on complexity and crop rotation at thelandscape scale
Rusch et al. (2013),p61,sub1786,Sweden,"Scania, Southern Sweden",Temperate,Barley,Invertebrates,Invertebrates,Animals,Predators,Coleoptera,Carabid_beetles,Richness,ED,Edge Density,Landscape_Configurational_het,Configurational_het,Landscape_het,0.0313417,41,500_m_R,78.37079,Flow and stability of natural pest control servicesdepend on complexity and crop rotation at thelandscape scale
Rusch et al. (2013),p61,sub1787,Sweden,"Scania, Southern Sweden",Temperate,Barley,Invertebrates,Invertebrates,Animals,Predators,Coleoptera,Carabid_beetles,Abundance,ED,Edge Density,Landscape_Configurational_het,Configurational_het,Landscape_het,-0.05895354,41,500_m_R,78.37079,Flow and stability of natural pest control servicesdepend on complexity and crop rotation at thelandscape scale
Rusch et al. (2013),p61,sub1788,Sweden,"Scania, Southern Sweden",Temperate,Barley,Invertebrates,Invertebrates,Animals,Predators,Coleoptera,Carabid_beetles,SWDiversity,ED,Edge Density,Landscape_Configurational_het,Configurational_het,Landscape_het,-0.006108161,41,1000_m_R,74.64098,Flow and stability of natural pest control servicesdepend on complexity and crop rotation at thelandscape scale
Rusch et al. (2013),p61,sub1789,Sweden,"Scania, Southern Sweden",Temperate,Barley,Invertebrates,Invertebrates,Animals,Predators,Coleoptera,Carabid_beetles,Richness,ED,Edge Density,Landscape_Configurational_het,Configurational_het,Landscape_het,-0.09841463,41,1000_m_R,74.64098,Flow and stability of natural pest control servicesdepend on complexity and crop rotation at thelandscape scale
Rusch et al. (2013),p61,sub1790,Sweden,"Scania, Southern Sweden",Temperate,Barley,Invertebrates,Invertebrates,Animals,Predators,Coleoptera,Carabid_beetles,Abundance,ED,Edge Density,Landscape_Configurational_het,Configurational_het,Landscape_het,-0.02157823,41,1000_m_R,74.64098,Flow and stability of natural pest control servicesdepend on complexity and crop rotation at thelandscape scale
Rusch et al. (2013),p61,sub1791,Sweden,"Scania, Southern Sweden",Temperate,Barley,Invertebrates,Invertebrates,Animals,Predators,Coleoptera,Carabid_beetles,SWDiversity,ED,Edge Density,Landscape_Configurational_het,Configurational_het,Landscape_het,-0.1557719,41,2000_m_R,72.8244,Flow and stability of natural pest control servicesdepend on complexity and crop rotation at thelandscape scale
Rusch et al. (2013),p61,sub1792,Sweden,"Scania, Southern Sweden",Temperate,Barley,Invertebrates,Invertebrates,Animals,Predators,Coleoptera,Carabid_beetles,Richness,ED,Edge Density,Landscape_Configurational_het,Configurational_het,Landscape_het,-0.1293714,41,2000_m_R,72.8244,Flow and stability of natural pest control servicesdepend on complexity and crop rotation at thelandscape scale
Rusch et al. (2013),p61,sub1793,Sweden,"Scania, Southern Sweden",Temperate,Barley,Invertebrates,Invertebrates,Animals,Predators,Coleoptera,Carabid_beetles,Abundance,ED,Edge Density,Landscape_Configurational_het,Configurational_het,Landscape_het,-0.07692108,41,2000_m_R,72.8244,Flow and stability of natural pest control servicesdepend on complexity and crop rotation at thelandscape scale
Rusch et al. (2013),p61,sub1794,Sweden,"Scania, Southern Sweden",Temperate,Barley,Invertebrates,Invertebrates,Animals,Predators,Coleoptera,Carabid_beetles,SWDiversity,ED,Edge Density,Landscape_Configurational_het,Configurational_het,Landscape_het,-0.2657002,41,3000_m_R,69.77454,Flow and stability of natural pest control servicesdepend on complexity and crop rotation at thelandscape scale
Rusch et al. (2013),p61,sub1795,Sweden,"Scania, Southern Sweden",Temperate,Barley,Invertebrates,Invertebrates,Animals,Predators,Coleoptera,Carabid_beetles,Richness,ED,Edge Density,Landscape_Configurational_het,Configurational_het,Landscape_het,-0.1007875,41,3000_m_R,69.77454,Flow and stability of natural pest control servicesdepend on complexity and crop rotation at thelandscape scale
Rusch et al. (2013),p61,sub1796,Sweden,"Scania, Southern Sweden",Temperate,Barley,Invertebrates,Invertebrates,Animals,Predators,Coleoptera,Carabid_beetles,Abundance,ED,Edge Density,Landscape_Configurational_het,Configurational_het,Landscape_het,0.01042881,41,3000_m_R,69.77454,Flow and stability of natural pest control servicesdepend on complexity and crop rotation at thelandscape scale
Holzschuh et al. (2016),p14,sub1797,Netherlands,"Achterhoek, Salland",Temperate,Oilseed rape,Invertebrates,Invertebrates,Animals,Pollinators,Hymenoptera,Bees,SWDiversity,ED,Edge Density,Landscape_Configurational_het,Configurational_het,Landscape_het,0.09299631,13,100_m_R,96.39439,Mass-flowering crops dilute pollinator abundance in agricultural landscapes across Europe
Holzschuh et al. (2016),p14,sub1798,Netherlands,"Achterhoek, Salland",Temperate,Oilseed rape,Invertebrates,Invertebrates,Animals,Pollinators,Hymenoptera,Bees,Richness,ED,Edge Density,Landscape_Configurational_het,Configurational_het,Landscape_het,0.3497667,13,100_m_R,96.39439,Mass-flowering crops dilute pollinator abundance in agricultural landscapes across Europe
Holzschuh et al. (2016),p14,sub1799,Netherlands,"Achterhoek, Salland",Temperate,Oilseed rape,Invertebrates,Invertebrates,Animals,Pollinators,Hymenoptera,Bees,Abundance,ED,Edge Density,Landscape_Configurational_het,Configurational_het,Landscape_het,0.330852,13,100_m_R,96.39439,Mass-flowering crops dilute pollinator abundance in agricultural landscapes across Europe
Holzschuh et al. (2016),p14,sub1800,Netherlands,"Achterhoek, Salland",Temperate,Oilseed rape,Invertebrates,Invertebrates,Animals,Pollinators,Hymenoptera,Bees,SWDiversity,ED,Edge Density,Landscape_Configurational_het,Configurational_het,Landscape_het,0.1640598,13,250_m_R,83.30002,Mass-flowering crops dilute pollinator abundance in agricultural landscapes across Europe
Holzschuh et al. (2016),p14,sub1801,Netherlands,"Achterhoek, Salland",Temperate,Oilseed rape,Invertebrates,Invertebrates,Animals,Pollinators,Hymenoptera,Bees,Richness,ED,Edge Density,Landscape_Configurational_het,Configurational_het,Landscape_het,0.3783625,13,250_m_R,83.30002,Mass-flowering crops dilute pollinator abundance in agricultural landscapes across Europe
Holzschuh et al. (2016),p14,sub1802,Netherlands,"Achterhoek, Salland",Temperate,Oilseed rape,Invertebrates,Invertebrates,Animals,Pollinators,Hymenoptera,Bees,Abundance,ED,Edge Density,Landscape_Configurational_het,Configurational_het,Landscape_het,0.3156865,13,250_m_R,83.30002,Mass-flowering crops dilute pollinator abundance in agricultural landscapes across Europe
Holzschuh et al. (2016),p14,sub1803,Netherlands,"Achterhoek, Salland",Temperate,Oilseed rape,Invertebrates,Invertebrates,Animals,Pollinators,Hymenoptera,Bees,SWDiversity,ED,Edge Density,Landscape_Configurational_het,Configurational_het,Landscape_het,0.1018492,13,500_m_R,75.89099,Mass-flowering crops dilute pollinator abundance in agricultural landscapes across Europe
Holzschuh et al. (2016),p14,sub1804,Netherlands,"Achterhoek, Salland",Temperate,Oilseed rape,Invertebrates,Invertebrates,Animals,Pollinators,Hymenoptera,Bees,Richness,ED,Edge Density,Landscape_Configurational_het,Configurational_het,Landscape_het,0.2833719,13,500_m_R,75.89099,Mass-flowering crops dilute pollinator abundance in agricultural landscapes across Europe
Holzschuh et al. (2016),p14,sub1805,Netherlands,"Achterhoek, Salland",Temperate,Oilseed rape,Invertebrates,Invertebrates,Animals,Pollinators,Hymenoptera,Bees,Abundance,ED,Edge Density,Landscape_Configurational_het,Configurational_het,Landscape_het,0.3093821,13,500_m_R,75.89099,Mass-flowering crops dilute pollinator abundance in agricultural landscapes across Europe
Holzschuh et al. (2016),p14,sub1806,Netherlands,"Achterhoek, Salland",Temperate,Oilseed rape,Invertebrates,Invertebrates,Animals,Pollinators,Hymenoptera,Bees,SWDiversity,ED,Edge Density,Landscape_Configurational_het,Configurational_het,Landscape_het,0.1331941,13,1000_m_R,72.08919,Mass-flowering crops dilute pollinator abundance in agricultural landscapes across Europe
Holzschuh et al. (2016),p14,sub1807,Netherlands,"Achterhoek, Salland",Temperate,Oilseed rape,Invertebrates,Invertebrates,Animals,Pollinators,Hymenoptera,Bees,Richness,ED,Edge Density,Landscape_Configurational_het,Configurational_het,Landscape_het,0.3217197,13,1000_m_R,72.08919,Mass-flowering crops dilute pollinator abundance in agricultural landscapes across Europe
Holzschuh et al. (2016),p14,sub1808,Netherlands,"Achterhoek, Salland",Temperate,Oilseed rape,Invertebrates,Invertebrates,Animals,Pollinators,Hymenoptera,Bees,Abundance,ED,Edge Density,Landscape_Configurational_het,Configurational_het,Landscape_het,0.3237931,13,1000_m_R,72.08919,Mass-flowering crops dilute pollinator abundance in agricultural landscapes across Europe
Holzschuh et al. (2016),p14,sub1809,Netherlands,"Achterhoek, Salland",Temperate,Oilseed rape,Invertebrates,Invertebrates,Animals,Pollinators,Hymenoptera,Bees,SWDiversity,ED,Edge Density,Landscape_Configurational_het,Configurational_het,Landscape_het,0.123054,13,2000_m_R,69.00443,Mass-flowering crops dilute pollinator abundance in agricultural landscapes across Europe
Holzschuh et al. (2016),p14,sub1810,Netherlands,"Achterhoek, Salland",Temperate,Oilseed rape,Invertebrates,Invertebrates,Animals,Pollinators,Hymenoptera,Bees,Richness,ED,Edge Density,Landscape_Configurational_het,Configurational_het,Landscape_het,0.2632915,13,2000_m_R,69.00443,Mass-flowering crops dilute pollinator abundance in agricultural landscapes across Europe
Holzschuh et al. (2016),p14,sub1811,Netherlands,"Achterhoek, Salland",Temperate,Oilseed rape,Invertebrates,Invertebrates,Animals,Pollinators,Hymenoptera,Bees,Abundance,ED,Edge Density,Landscape_Configurational_het,Configurational_het,Landscape_het,0.2118123,13,2000_m_R,69.00443,Mass-flowering crops dilute pollinator abundance in agricultural landscapes across Europe
Holzschuh et al. (2016),p14,sub1812,Netherlands,"Achterhoek, Salland",Temperate,Oilseed rape,Invertebrates,Invertebrates,Animals,Pollinators,Hymenoptera,Bees,SWDiversity,ED,Edge Density,Landscape_Configurational_het,Configurational_het,Landscape_het,0.05713891,13,3000_m_R,66.10846,Mass-flowering crops dilute pollinator abundance in agricultural landscapes across Europe
Holzschuh et al. (2016),p14,sub1813,Netherlands,"Achterhoek, Salland",Temperate,Oilseed rape,Invertebrates,Invertebrates,Animals,Pollinators,Hymenoptera,Bees,Richness,ED,Edge Density,Landscape_Configurational_het,Configurational_het,Landscape_het,0.1412682,13,3000_m_R,66.10846,Mass-flowering crops dilute pollinator abundance in agricultural landscapes across Europe
Holzschuh et al. (2016),p14,sub1814,Netherlands,"Achterhoek, Salland",Temperate,Oilseed rape,Invertebrates,Invertebrates,Animals,Pollinators,Hymenoptera,Bees,Abundance,ED,Edge Density,Landscape_Configurational_het,Configurational_het,Landscape_het,0.13632,13,3000_m_R,66.10846,Mass-flowering crops dilute pollinator abundance in agricultural landscapes across Europe
Holzschuh et al. (2016),p14,sub1815,Netherlands,"Achterhoek, Salland",Temperate,Oilseed rape,Invertebrates,Invertebrates,Animals,Pollinators,Diptera,Hoverflies,SWDiversity,ED,Edge Density,Landscape_Configurational_het,Configurational_het,Landscape_het,-0.1457889,13,100_m_R,96.39439,Mass-flowering crops dilute pollinator abundance in agricultural landscapes across Europe
Holzschuh et al. (2016),p14,sub1816,Netherlands,"Achterhoek, Salland",Temperate,Oilseed rape,Invertebrates,Invertebrates,Animals,Pollinators,Diptera,Hoverflies,Richness,ED,Edge Density,Landscape_Configurational_het,Configurational_het,Landscape_het,-0.2572332,13,100_m_R,96.39439,Mass-flowering crops dilute pollinator abundance in agricultural landscapes across Europe
Holzschuh et al. (2016),p14,sub1817,Netherlands,"Achterhoek, Salland",Temperate,Oilseed rape,Invertebrates,Invertebrates,Animals,Pollinators,Diptera,Hoverflies,Abundance,ED,Edge Density,Landscape_Configurational_het,Configurational_het,Landscape_het,-0.2080631,13,100_m_R,96.39439,Mass-flowering crops dilute pollinator abundance in agricultural landscapes across Europe
Holzschuh et al. (2016),p14,sub1818,Netherlands,"Achterhoek, Salland",Temperate,Oilseed rape,Invertebrates,Invertebrates,Animals,Pollinators,Diptera,Hoverflies,SWDiversity,ED,Edge Density,Landscape_Configurational_het,Configurational_het,Landscape_het,-0.1260289,13,250_m_R,83.30002,Mass-flowering crops dilute pollinator abundance in agricultural landscapes across Europe
Holzschuh et al. (2016),p14,sub1819,Netherlands,"Achterhoek, Salland",Temperate,Oilseed rape,Invertebrates,Invertebrates,Animals,Pollinators,Diptera,Hoverflies,Richness,ED,Edge Density,Landscape_Configurational_het,Configurational_het,Landscape_het,-0.2087089,13,250_m_R,83.30002,Mass-flowering crops dilute pollinator abundance in agricultural landscapes across Europe
Holzschuh et al. (2016),p14,sub1820,Netherlands,"Achterhoek, Salland",Temperate,Oilseed rape,Invertebrates,Invertebrates,Animals,Pollinators,Diptera,Hoverflies,Abundance,ED,Edge Density,Landscape_Configurational_het,Configurational_het,Landscape_het,-0.2157917,13,250_m_R,83.30002,Mass-flowering crops dilute pollinator abundance in agricultural landscapes across Europe
Holzschuh et al. (2016),p14,sub1821,Netherlands,"Achterhoek, Salland",Temperate,Oilseed rape,Invertebrates,Invertebrates,Animals,Pollinators,Diptera,Hoverflies,SWDiversity,ED,Edge Density,Landscape_Configurational_het,Configurational_het,Landscape_het,-0.102666,13,500_m_R,75.89099,Mass-flowering crops dilute pollinator abundance in agricultural landscapes across Europe
Holzschuh et al. (2016),p14,sub1822,Netherlands,"Achterhoek, Salland",Temperate,Oilseed rape,Invertebrates,Invertebrates,Animals,Pollinators,Diptera,Hoverflies,Richness,ED,Edge Density,Landscape_Configurational_het,Configurational_het,Landscape_het,-0.1635242,13,500_m_R,75.89099,Mass-flowering crops dilute pollinator abundance in agricultural landscapes across Europe
Holzschuh et al. (2016),p14,sub1823,Netherlands,"Achterhoek, Salland",Temperate,Oilseed rape,Invertebrates,Invertebrates,Animals,Pollinators,Diptera,Hoverflies,Abundance,ED,Edge Density,Landscape_Configurational_het,Configurational_het,Landscape_het,-0.1476658,13,500_m_R,75.89099,Mass-flowering crops dilute pollinator abundance in agricultural landscapes across Europe
Holzschuh et al. (2016),p14,sub1824,Netherlands,"Achterhoek, Salland",Temperate,Oilseed rape,Invertebrates,Invertebrates,Animals,Pollinators,Diptera,Hoverflies,SWDiversity,ED,Edge Density,Landscape_Configurational_het,Configurational_het,Landscape_het,0.06114753,13,1000_m_R,72.08919,Mass-flowering crops dilute pollinator abundance in agricultural landscapes across Europe
Holzschuh et al. (2016),p14,sub1825,Netherlands,"Achterhoek, Salland",Temperate,Oilseed rape,Invertebrates,Invertebrates,Animals,Pollinators,Diptera,Hoverflies,Richness,ED,Edge Density,Landscape_Configurational_het,Configurational_het,Landscape_het,0.1134731,13,1000_m_R,72.08919,Mass-flowering crops dilute pollinator abundance in agricultural landscapes across Europe
Holzschuh et al. (2016),p14,sub1826,Netherlands,"Achterhoek, Salland",Temperate,Oilseed rape,Invertebrates,Invertebrates,Animals,Pollinators,Diptera,Hoverflies,Abundance,ED,Edge Density,Landscape_Configurational_het,Configurational_het,Landscape_het,0.02910442,13,1000_m_R,72.08919,Mass-flowering crops dilute pollinator abundance in agricultural landscapes across Europe
Holzschuh et al. (2016),p14,sub1827,Netherlands,"Achterhoek, Salland",Temperate,Oilseed rape,Invertebrates,Invertebrates,Animals,Pollinators,Diptera,Hoverflies,SWDiversity,ED,Edge Density,Landscape_Configurational_het,Configurational_het,Landscape_het,-0.09874016,13,2000_m_R,69.00443,Mass-flowering crops dilute pollinator abundance in agricultural landscapes across Europe
Holzschuh et al. (2016),p14,sub1828,Netherlands,"Achterhoek, Salland",Temperate,Oilseed rape,Invertebrates,Invertebrates,Animals,Pollinators,Diptera,Hoverflies,Richness,ED,Edge Density,Landscape_Configurational_het,Configurational_het,Landscape_het,-0.2220621,13,2000_m_R,69.00443,Mass-flowering crops dilute pollinator abundance in agricultural landscapes across Europe
Holzschuh et al. (2016),p14,sub1829,Netherlands,"Achterhoek, Salland",Temperate,Oilseed rape,Invertebrates,Invertebrates,Animals,Pollinators,Diptera,Hoverflies,Abundance,ED,Edge Density,Landscape_Configurational_het,Configurational_het,Landscape_het,-0.2874123,13,2000_m_R,69.00443,Mass-flowering crops dilute pollinator abundance in agricultural landscapes across Europe
